"Ziemniaki na parze";"77";"1,9";"17,3";"0,1";"Zgłoś"
"Sos boloński z mięsem - Pudliszki";"70";"3,6";"7,2";"3,3";"Zgłoś"
"Twaróg Wiejski chudy - Pi? tnica";"90";"19,0";"3,5";"0,0";"Zgłoś"
"Surówka z marchwi i jabłka";"47";"0,7";"10,5";"0,2";"Zgłoś"
"Czekolada z orzechami";"540";"13,1";"49,7";"33,5";"Zgłoś"
"Przyprawa Kminek";"375";"19,7";"49,9";"14,6";"Zgłoś"
"Len mielony złoty odtłuszczony - Sante";"364";"32,0";"4,0";"17,5";"Zgłoś"
"Płatki owsiane z dodatkiem otrębów owsianych";"361";"18,0";"45,6";"7,7";"Zgłoś"
"Parówki z szynki - Sokołów";"283";"13,0";"1,5";"25,0";"Zgłoś"
"Schab wieprzowy (surowy)";"128";"24,0";"0,4";"3,5";"Zgłoś"
"Filet z indyka";"102";"24,0";"0,0";"0,7";"Zgłoś"
"Ciasto marchewkowe";"268";"4,8";"28,3";"14,9";"Zgłoś"
"Flaki wołowe (w rosole)";"36";"4,9";"1,5";"1,2";"Zgłoś"
"Groszek z marchewk?";"34";"2,2";"4,5";"0,5";"Zgłoś"
"Baton Fitness z truskawkami - Nestle";"381";"5,5";"73,8";"7,1";"Zgłoś"
"Kompot wiśniowy";"69";"0,2";"16,9";"0,1";"Zgłoś"
"Cukier trzcinowy - Demerara";"399";"0,0";"99,0";"0,0";"Zgłoś"
"Płatki orkiszowe";"327";"12,0";"63,0";"3,0";"Zgłoś"
"Serek homogenizowany o smaku waniliowym - Rolmlecz";"138";"7,0";"15,0";"5,5";"Zgłoś"
"Oscypek";"386";"29,0";"0,0";"30,0";"Zgłoś"
"Tuńczyk w oleju - Ocean Rise";"189";"27,0";"0,5";"9,0";"Zgłoś"
"Łosoś wędzony na zimno - Biedronka";"188";"20,0";"0,0";"12,0";"Zgłoś"
"Pstr? g wędzony";"127";"20,6";"0,0";"4,7";"Zgłoś"
"Jabłko pieczone";"93";"0,3";"19,0";"1,6";"Zgłoś"
"Kawa Cappuccino śmietankowe";"413";"4,1";"77,2";"9,8";"Zgłoś"
"Bagietka pszenna";"255";"7,9";"52,8";"0,7";"Zgłoś"
"Pieczywo chrupkie original - Wasa";"334";"9,0";"61,5";"1,5";"Zgłoś"
"Serek ze szczypiorkiem i cebul? - Almette";"242";"7,0";"4,0";"22,0";"Zgłoś"
"Anchois w puszce, z olejem";"210";"29,0";"0,0";"10,0";"Zgłoś"
"Limonka";"30";"0,7";"10,5";"0,2";"Zgłoś"
"Trawa cytrynowa (surowa)";"99";"1,8";"25,3";"0,5";"Zgłoś"
"Pieczywo chrupkie żytnie delikatess - Wasa";"334";"9,0";"60,0";"1,5";"Zgłoś"
"Wafle ryżowe z amarantusem - Sante";"372";"8,0";"77,0";"3,0";"Zgłoś"
"Sos pieczarkowy";"33";"1,1";"1,9";"2,3";"Zgłoś"
