"Zupa z soczewicy Pani Soczewica";"70";"8.4";"1.6";"3.6"
"Zupa z soczewicy";"111";"19.7";"1.9";"7.2"
"Zupa z marchwii i czerwonej soczewicy - Biedronka";"52";"6.6";"0.7";"3.5"
"zupa z marchwii";"32";"3.2";"1.4";"0.5"
"Zupa z kurek kremowa";"60";"6.0";"3.5";"1.0"
"Zupa z kurczakiem i makaronem";"34";"4.8";"0.5";"2.2"
"Zupa z kluskami ryżowymi (po przyrządzeniu) - Vifon";"46";"9.0";"0.0";"1.0"
"Zupa z kapusty (kapuściana)";"29";"3.1";"1.3";"1.6"
"Zupa z kalarepy";"48";"4.1";"2.1";"2.4"
"Zupa z galaretki z nóżek wieprzowych";"83";"0.3";"5.9";"6.0"
"Zupa z galaretki z kurczaka";"24";"1.0";"0.8";"2.7"
"Zupa z dynią i marchewką";"49";"5.4";"2.6";"0.4"
"Zupa z dyni - Mroźna Kraina";"38";"7.0";"0.0";"1.0"
"Zupa z dyni";"30";"4.2";"1.4";"0.6"
"zupa z cukinii dwu kolorowa";"174";"19.0";"8.3";"11.0"
"Zupa z cukini";"50";"4.0";"4.0";"1.0"
"Zupa z ciecierzycy Marokańska";"179";"29.0";"4.5";"7.8"
"Zupa z ciecierzycy i pomidorów";"64";"4.8";"4.0";"3.5"
"Zupa z ciecierzycy";"82";"14.0";"1.0";"4.0"
"Zupa z botwiny zabielana";"25";"3.0";"1.0";"2.0"
"Zupa z botwiny";"43";"5.9";"1.0";"2.6"
"Zupa z borowikiem Pani Grzybowa";"27";"3.2";"0.7";"1.3"
"Zupa wysokobiałkowa- serowa";"428";"30.0";"21.0";"29.0"
"Zupa wysokobiałkowa rosól - Master Meal";"328";"43.0";"2.6";"32.0"
"zupa wiosenna 9 składników Hortex";"51";"8.3";"0.5";"2.5"
"Zupa wiosenna 9 składnikowa - Hortex";"51";"8.3";"0.5";"2.5"
"Zupa wiejska z kaszą jęczmienną";"80";"12.0";"4.0";"2.2"
"Zupa warzywno kurczakowa";"55";"3.0";"3.0";"3.0"
"zupa warzywna na indyku";"59";"15.6";"2.0";"3.3"
"Zupa warzywna - Benessere";"21";"2.9";"0.0";"1.1"
"Zupa warzywna";"30";"3.5";"1.2";"1.3"
"Zupa w proszku z makaronem (po przyrządzeniu)";"74";"10.0";"3.1";"1.5"
"Zupa Van Than";"56";"9.0";"1.0";"4.0"
"Zupa Thai z kuczakiem";"68";"5.0";"4.0";"3.0"
"Zupa tajska z zielonym curry - EatMe";"36";"3.4";"2.0";"1.0"
"Zupa tajska z mlekiem kokosowym i krewetkami";"121";"3.4";"5.1";"15.0"
"Zupa tajska z makaronem - Winiary";"62";"9.0";"2.4";"1.0"
"Zupa Tajska vege";"140";"9.0";"10.0";"4.0"
"Zupa tajska pieczarkowa z makaronem ryżowym i mlekiem kokosowym";"53";"5.8";"1.8";"4.7"
"Zupa tajska domowa";"53";"2.0";"3.0";"5.0"
"Zupa tajska";"53";"2.0";"3.0";"5.0"
"Zupa śródziemnomorska - Tymbark";"24";"4.0";"0.0";"0.0"
"Zupa śródziemnomorska";"362";"37.8";"17.3";"18.8"
"Zupa śliwkowa";"28";"6.3";"0.2";"0.4"
"Zupa szpinakowa";"22";"1.1";"1.3";"1.3"
"Zupa szparagowa";"34";"1.3";"2.4";"1.4"
"Zupa szczawiowa z jajkiem";"93";"9.6";"4.4";"3.7"
"Zupa szczawiowa";"30";"4.8";"0.8";"1.1"
"Zupa szabelkowa z dodatkiem ziemniaków";"110";"17.0";"5.0";"2.0"
"Zupa Strogonow";"118";"3.1";"5.8";"12.9"
"Zupa staropolska";"57";"9.5";"2.0";"1.2"
"Zupa Solanka rosyjska";"82";"2.0";"5.5";"6.2"
"Zupa soczewicowa 1/4";"354";"40.0";"13.0";"20.0"
"Zupa soczewica";"34";"4.7";"2.0";"0.7"
"Zupa Smaczny Rosół z kury z makaronem (po przyrządzeniu) - Winiary";"15";"2.8";"0.1";"0.5"
"Zupa Smaczna Pieczarkowa z grzankami (po przyrządzeniu) - Winary";"31";"3.6";"1.6";"0.4"
"Zupa serowa z ziołami";"70";"8.4";"3.6";"1.4"
"Zupa serowa z grzankami Gorąca Chwila (po przyrządzeniu) - Culineo";"34";"5.5";"0.8";"1.1"
"Zupa serowa z grzankami (po przyrządzeniu) - Winiary";"34";"3.6";"1.8";"0.9"
"Zupa ryżowa";"48";"5.9";"1.7";"2.3"
"zupa rybna z łososia";"105";"10.0";"4.0";"6.0"
"Zupa rybna pomidorowa";"74";"6.8";"1.7";"7.5"
"Zupa rybna";"105";"10.0";"4.0";"6.0"
"Zupa Red Curry";"62";"4.0";"5.0";"1.0"
"Zupa przecierana";"40";"10.0";"2.0";"1.0"
"Zupa proteinowa Dietmeal PRO";"341";"11.1";"2.3";"66.7"
"zupa prezydencka HORTEX";"22";"3.5";"0.3";"1.3"
"Zupa porowa z serkiem topionym i śmietaną";"152";"1.0";"12.0";"10.0"
"Zupa porowa z serem topionym zabielana";"39";"2.0";"3.0";"1.0"
"Zupa porowa";"70";"7.0";"3.3";"3.4"
"Zupa pomidorowa zabielana śmietaną";"21";"1.5";"1.5";"0.4"
"Zupa pomidorowa z ryżem i indykiem";"395";"44.9";"13.6";"22.2"
"Zupa pomidorowa z ryżem";"71";"15.2";"0.4";"1.5"
"Zupa Pomidorowa z papryczką - Pan Pomidor";"44";"5.0";"1.6";"1.1"
"Zupa Pomidorowa z mascarpone i bazylią (po przyrządzeniu) - Knorr";"48";"6.3";"1.9";"1.1"
"Zupa pomidorowa z makaronem";"158";"17.3";"5.8";"8.9"
"Zupa pomidorowa z cieciorką i makaronem orzo";"79";"8.6";"2.5";"3.5"
"Zupa pomidorowa z cieciorką";"79";"10.1";"2.7";"3.5"
"Zupa pomidorowa z bazylią";"51";"7.9";"1.5";"1.1"
"Zupa pomidorowa wegetariańska";"36";"6.0";"1.0";"1.0"
"Zupa pomidorowa po azjatycku (po przyrządzeniu) - Vifon";"74";"10.0";"3.1";"1.5"
"Zupa pomidorowa na żeberkach";"69";"11.0";"2.0";"3.0"
"Zupa pomidorowa na koncentracie pomidorowym bez śmietany";"11";"0.8";"0.5";"0.6"
"Zupa pomidorowa łagodna (po przyrządzeniu) - Knorr";"34";"6.4";"0.5";"1.2"
"Zupa pomidorowa (proszek)";"95";"12.0";"4.5";"2.0"
"Zupa pomidorowa (po przyrządzeniu) - Amino";"64";"8.5";"2.7";"1.3"
"Zupa pomidorowa - Profi";"41";"5.0";"1.0";"2.0"
"Zupa pomidorowa - Herbalife (proszek)";"326";"47.0";"2.0";"22.0"
"Zupa pomidorowa";"37";"2.7";"2.1";"3.6"
"Zupa pikantno-kwaśna (Suan La Tang)";"150";"15.0";"6.0";"9.0"
"Zupa pieczarkowa z makaronem ryżowym i mlekiem kokosowym";"38";"3.0";"1.1";"3.8"
"zupa pieczarkowa z makaronem";"53";"5.8";"1.8";"4.7"
"Zupa pieczarkowa wegetariańska";"65";"8.0";"3.0";"2.0"
"Zupa pieczarkowa kremowa z natką pietruszki (po przyrządzeniu) - Knorr";"56";"5.1";"3.5";"0.9"
"Zupa pieczarkowa (po przyrządzeniu) - Amino";"85";"11.0";"4.0";"1.5"
"Zupa pieczarkowa (mrożonka)";"37";"5.6";"0.5";"1.9"
"Zupa pieczarkowa - PROFI";"36";"3.7";"1.5";"1.7"
"Zupa pieczarkowa - HORTEX (po ugotowaniu)";"37";"5.6";"0.5";"1.4"
"Zupa pieczarkowa";"65";"8.1";"2.8";"1.6"
"Zupa Pho - Vifon";"46";"9.5";"0.5";"0.8"
"Zupa pekińska";"17";"1.6";"0.4";"1.8"
"Zupa Pani Soczewica";"70";"8.4";"1.6";"3.6"
"Zupa Pani Marchew & Imbir - Pan Pomidor & Co";"32";"3.2";"1.4";"0.5"
"zupa owocowa z zacierkami";"46";"9.0";"0.3";"1.0"
"Zupa owocowa";"103";"25.0";"0.3";"0.3"
"Zupa orientalna z kurczakiem i krewetką - EatMe";"38";"4.0";"1.0";"2.0"
"Zupa ogórkowa zabielana z ziemniakami (gotowa)";"67";"11.0";"2.0";"1.0"
"Zupa ogórkowa z warzywami";"52";"5.0";"2.3";"4.4"
"zupa ogórkowa z koperkiem HORTEX";"38";"7.0";"1.0";"1.0"
"Zupa ogórkowa Thermomix";"165";"15.5";"8.4";"9.1"
"Zupa ogórkowa domowa";"53";"5.0";"2.3";"4.4"
"Zupa ogórkowa (po przyrządzeniu) - Amino";"85";"11.0";"3.5";"1.5"
"Zupa ogórkowa (gotowa) - Profi";"29";"3.0";"1.0";"1.0"
"Zupa ogórkowa (gotowa) - EatMe";"64";"8.0";"4.0";"1.0"
"Zupa ogórkowa";"48";"5.0";"2.1";"3.4"
"Zupa Nudle Pomidorowa (po przyrządzeniu) - Knorr";"95";"13.0";"4.0";"2.0"
"Zupa neapolitańska z makaronem";"65";"8.3";"2.7";"2.3"
"Zupa Molokhia";"107";"6.0";"8.0";"2.0"
"Zupa Miso";"84";"7.8";"3.4";"6.0"
"Zupa Misho-Shiru";"110";"10.0";"5.0";"9.0"
"Zupa Minestrone";"33";"4.7";"1.0";"1.8"
"Zupa migdałowo-marchewkowa";"35";"9.0";"0.3";"1.5"
"Zupa meksykańska z nutką chilli";"39";"6.0";"1.0";"2.0"
"Zupa meksykańska z mięsem mielonym";"99";"8.6";"3.3";"8.7"
"Zupa meksykańska";"99";"8.6";"3.3";"8.7"
"Zupa marchewkowa (marchew, serek topiony)";"170";"4.5";"13.1";"6.3"
"Zupa marchewkowa";"14";"2.0";"0.5";"0.4"
"Zupa Kurkowa z makaronem Gorący Kubek (po przyrządzeniu) - Knorr";"25";"4.7";"0.5";"0.8"
"Zupa kurkowa";"40";"3.3";"2.8";"0.7"
